item_id,int_rate,loan_amnt,grade,purpose,term,n_loans,positive_rate,item_idx
C_debt_consolidation_60 months,14.317620515983144,20648.771713434064,C,debt_consolidation,60 months,9729,0.87162092712509,57
C_educational_36 months,12.676666666666668,8591.666666666666,C,educational,36 months,6,0.8333333333333334,58
C_home_improvement_36 months,14.01435825892857,11553.487723214286,C,home_improvement,36 months,1792,0.8744419642857143,59
C_home_improvement_60 months,14.25598820058997,20232.47295968535,C,home_improvement,60 months,1017,0.8849557522123894,60
C_house_36 months,14.400773480662982,13147.651933701658,C,house,36 months,181,0.9116022099447514,61
C_house_60 months,14.4102,21326.0,C,house,60 months,100,0.94,62
C_major_purchase_36 months,14.074648562300318,9017.571884984025,C,major_purchase,36 months,626,0.865814696485623,63
C_major_purchase_60 months,14.239444444444445,19865.0,C,major_purchase,60 months,270,0.837037037037037,64
C_medical_36 months,14.146414342629482,7283.316733067729,C,medical,36 months,502,0.8605577689243028,65
C_medical_60 months,14.333499999999999,17664.75,C,medical,60 months,100,0.87,66
C_moving_36 months,14.006801470588234,6256.341911764706,C,moving,36 months,272,0.8676470588235294,67
C_moving_60 months,14.100212765957448,18157.44680851064,C,moving,60 months,47,0.8936170212765957,68
C_other_36 months,14.042491212653777,7771.671792618629,C,other,36 months,2276,0.8743409490333919,69
C_other_60 months,14.302996323529412,18463.189338235294,C,other,60 months,544,0.8694852941176471,70
C_renewable_energy_36 months,13.890588235294118,8670.588235294117,C,renewable_energy,36 months,17,1.0,71
C_renewable_energy_60 months,14.964285714285714,17000.0,C,renewable_energy,60 months,7,1.0,72
C_small_business_36 months,14.16495867768595,14150.964187327823,C,small_business,36 months,363,0.8622589531680441,73
C_small_business_60 months,14.441505376344086,21851.075268817203,C,small_business,60 months,93,0.8279569892473119,74
C_vacation_36 months,14.075862068965517,6006.583072100313,C,vacation,36 months,319,0.8620689655172413,75
C_vacation_60 months,14.337826086956522,15800.0,C,vacation,60 months,23,0.8695652173913043,76
C_wedding_36 months,14.627500000000001,10831.25,C,wedding,36 months,20,0.95,77
C_wedding_60 months,13.38,15437.5,C,wedding,60 months,4,1.0,78
D_car_36 months,18.42978102189781,7301.6423357664235,D,car,36 months,137,0.8686131386861314,79
D_car_60 months,18.26378787878788,15368.560606060606,D,car,60 months,66,0.8484848484848485,80
D_credit_card_36 months,18.108600493218248,13357.136251541308,D,credit_card,36 months,1622,0.813810110974106,81
D_credit_card_60 months,18.06222355769231,20249.11358173077,D,credit_card,60 months,1664,0.8082932692307693,82
D_debt_consolidation_36 months,18.01420339919856,13427.535581041868,D,debt_consolidation,36 months,7237,0.8039242780157524,83
D_debt_consolidation_60 months,18.214996155620483,20205.38597570352,D,debt_consolidation,60 months,6503,0.8037828694448717,84
D_educational_36 months,13.925,10000.0,D,educational,36 months,2,0.5,85
D_home_improvement_36 months,18.177838541666667,13378.90625,D,home_improvement,36 months,768,0.8489583333333334,86
D_home_improvement_60 months,18.114855687606113,20019.736842105263,D,home_improvement,60 months,589,0.8217317487266553,87
D_house_36 months,18.293636363636363,13132.727272727272,D,house,36 months,110,0.7636363636363637,88
D_house_60 months,18.820192307692306,22280.28846153846,D,house,60 months,52,0.8461538461538461,89
D_major_purchase_36 months,18.172671232876713,11134.417808219177,D,major_purchase,36 months,292,0.8013698630136986,90
D_major_purchase_60 months,18.267005988023953,19656.88622754491,D,major_purchase,60 months,167,0.8203592814371258,91
D_medical_36 months,18.33875,6559.698275862069,D,medical,36 months,232,0.8146551724137931,92
D_medical_60 months,18.003513513513514,17753.716216216217,D,medical,60 months,74,0.8243243243243243,93
D_moving_36 months,17.910806451612903,5419.623655913979,D,moving,36 months,186,0.8172043010752689,94
D_moving_60 months,18.510967741935485,15258.064516129032,D,moving,60 months,31,0.7741935483870968,95
D_other_36 months,18.302912891986065,7765.087108013938,D,other,36 months,1435,0.8418118466898955,96
D_other_60 months,18.438109589041094,17206.369863013697,D,other,60 months,365,0.8383561643835616,97
D_renewable_energy_36 months,18.75315789473684,8668.421052631578,D,renewable_energy,36 months,19,0.6842105263157895,98
D_renewable_energy_60 months,17.02333333333333,25066.666666666668,D,renewable_energy,60 months,3,0.6666666666666666,99
D_small_business_36 months,18.07404255319149,12789.27304964539,D,small_business,36 months,282,0.75177304964539,100
D_small_business_60 months,18.368695652173916,22192.753623188404,D,small_business,60 months,69,0.7246376811594203,101
D_vacation_36 months,18.179893048128342,4934.090909090909,D,vacation,36 months,187,0.839572192513369,102
D_vacation_60 months,17.805833333333332,16116.666666666666,D,vacation,60 months,12,0.8333333333333334,103
D_wedding_36 months,18.294285714285714,8447.619047619048,D,wedding,36 months,21,0.8095238095238095,104
D_wedding_60 months,17.16,14400.0,D,wedding,60 months,2,0.5,105
E_car_36 months,22.282093023255815,7322.674418604651,E,car,36 months,43,0.7674418604651163,106
E_car_60 months,22.2755,18965.625,E,car,60 months,40,0.725,107
E_credit_card_36 months,22.20895833333333,14689.756944444445,E,credit_card,36 months,288,0.7916666666666666,108
E_credit_card_60 months,21.580961791831356,20623.418972332016,E,credit_card,60 months,759,0.7154150197628458,109
E_debt_consolidation_36 months,21.938906001062133,13776.101964949548,E,debt_consolidation,36 months,1883,0.7307488050982475,110
E_debt_consolidation_60 months,21.59751227897839,20971.156679764244,E,debt_consolidation,60 months,4072,0.7055500982318271,111
E_home_improvement_36 months,21.918959537572256,12681.936416184972,E,home_improvement,36 months,173,0.791907514450867,112
E_home_improvement_60 months,21.823882352941176,20999.33823529412,E,home_improvement,60 months,340,0.6941176470588235,113
E_house_36 months,21.78627450980392,12382.843137254902,E,house,36 months,51,0.7843137254901961,114
E_house_60 months,22.257111111111108,20537.777777777777,E,house,60 months,45,0.6888888888888889,115
E_major_purchase_36 months,22.236455696202533,10968.037974683544,E,major_purchase,36 months,79,0.7848101265822784,116
E_major_purchase_60 months,22.188938053097345,20128.53982300885,E,major_purchase,60 months,113,0.7522123893805309,117
E_medical_36 months,22.485857142857142,7157.857142857143,E,medical,36 months,70,0.8,118
E_medical_60 months,21.45295081967213,16311.065573770491,E,medical,60 months,61,0.8360655737704918,119
E_moving_36 months,21.724285714285713,5833.630952380952,E,moving,36 months,84,0.8095238095238095,120
E_moving_60 months,22.05361111111111,15952.083333333334,E,moving,60 months,36,0.7222222222222222,121
E_other_36 months,22.4776953125,8617.87109375,E,other,36 months,512,0.81640625,122
E_other_60 months,21.910868055555554,18628.385416666668,E,other,60 months,288,0.7291666666666666,123
E_renewable_energy_36 months,20.144,2500.0,E,renewable_energy,36 months,5,0.6,124
E_renewable_energy_60 months,20.961666666666666,17804.166666666668,E,renewable_energy,60 months,6,1.0,125
E_small_business_36 months,21.306238532110093,12554.357798165138,E,small_business,36 months,109,0.6238532110091743,126
E_small_business_60 months,21.410243902439024,20483.841463414636,E,small_business,60 months,82,0.6341463414634146,127
E_vacation_36 months,21.98076923076923,4919.711538461538,E,vacation,36 months,52,0.8269230769230769,128
E_vacation_60 months,22.912307692307692,19236.53846153846,E,vacation,60 months,13,0.46153846153846156,129
E_wedding_36 months,20.60222222222222,9958.333333333334,E,wedding,36 months,9,0.7777777777777778,130
E_wedding_60 months,19.514444444444443,17075.0,E,wedding,60 months,9,0.8888888888888888,131
F_car_36 months,25.276666666666667,6029.166666666667,F,car,36 months,6,0.5,132
F_car_60 months,26.201,16605.0,F,car,60 months,10,0.5,133
F_credit_card_36 months,25.69448275862069,11706.896551724138,F,credit_card,36 months,29,0.5517241379310345,134
F_credit_card_60 months,25.64294117647059,20814.592760180996,F,credit_card,60 months,221,0.751131221719457,135
F_debt_consolidation_36 months,25.59282392026578,13128.156146179403,F,debt_consolidation,36 months,301,0.6046511627906976,136
F_debt_consolidation_60 months,25.524135437212358,21409.434582511505,F,debt_consolidation,60 months,1521,0.6134122287968442,137
F_educational_60 months,18.67,8000.0,F,educational,60 months,1,1.0,138
F_home_improvement_36 months,25.733658536585363,11896.341463414634,F,home_improvement,36 months,41,0.6585365853658537,139
F_home_improvement_60 months,25.276029411764707,23134.558823529413,F,home_improvement,60 months,136,0.6323529411764706,140
F_house_36 months,25.333448275862068,9550.862068965518,F,house,36 months,29,0.7241379310344828,141
F_house_60 months,24.59894736842105,24267.105263157893,F,house,60 months,19,0.631578947368421,142
F_major_purchase_36 months,25.383478260869563,12806.521739130434,F,major_purchase,36 months,23,0.7391304347826086,143
F_major_purchase_60 months,25.7592,21598.5,F,major_purchase,60 months,50,0.64,144
F_medical_36 months,26.280833333333334,6222.916666666667,F,medical,36 months,12,0.75,145
F_medical_60 months,24.428749999999997,19402.083333333332,F,medical,60 months,24,0.6666666666666666,146
F_moving_36 months,24.978421052631578,7203.9473684210525,F,moving,36 months,19,0.7368421052631579,147
F_moving_60 months,25.904999999999998,13120.833333333334,F,moving,60 months,18,0.6666666666666666,148
F_other_36 months,26.130756302521007,7129.83193277311,F,other,36 months,119,0.7478991596638656,149
F_other_60 months,25.712790697674414,18782.412790697676,F,other,60 months,172,0.6802325581395349,150
F_renewable_energy_36 months,23.034999999999997,5937.5,F,renewable_energy,36 months,2,0.5,151
F_small_business_36 months,24.95181818181818,13107.575757575758,F,small_business,36 months,33,0.8181818181818182,152
F_small_business_60 months,24.735142857142858,21887.85714285714,F,small_business,60 months,35,0.5142857142857142,153
F_vacation_36 months,24.764444444444443,4602.777777777777,F,vacation,36 months,9,0.7777777777777778,154
F_vacation_60 months,24.899999999999995,15133.333333333334,F,vacation,60 months,3,0.6666666666666666,155
F_wedding_36 months,19.04,7500.0,F,wedding,36 months,1,1.0,156
F_wedding_60 months,23.1725,29193.75,F,wedding,60 months,4,0.75,157
G_car_36 months,30.84,7150.0,G,car,36 months,1,1.0,158
G_car_60 months,27.583999999999996,12405.0,G,car,60 months,5,0.6,159
G_credit_card_36 months,28.64625,17768.75,G,credit_card,36 months,8,0.5,160
G_credit_card_60 months,29.162857142857145,23415.714285714286,G,credit_card,60 months,35,0.7428571428571429,161
G_debt_consolidation_36 months,28.581147540983608,14990.983606557376,G,debt_consolidation,36 months,61,0.5737704918032787,162
G_debt_consolidation_60 months,28.14290909090909,21947.840909090908,G,debt_consolidation,60 months,440,0.6022727272727273,163
G_home_improvement_36 months,29.862000000000002,11530.0,G,home_improvement,36 months,5,1.0,164
G_home_improvement_60 months,27.192173913043476,23754.347826086956,G,home_improvement,60 months,46,0.6521739130434783,165
G_house_36 months,27.462857142857143,12382.142857142857,G,house,36 months,14,0.5714285714285714,166
G_house_60 months,27.58642857142857,21825.0,G,house,60 months,14,0.6428571428571429,167
G_major_purchase_36 months,30.856666666666666,9333.333333333334,G,major_purchase,36 months,3,1.0,168
G_major_purchase_60 months,27.81,22375.0,G,major_purchase,60 months,14,0.5,169
G_medical_36 months,29.665,21625.0,G,medical,36 months,2,0.0,170
G_medical_60 months,28.551666666666666,16804.166666666668,G,medical,60 months,6,0.5,171
G_moving_36 months,27.924285714285713,10692.857142857143,G,moving,36 months,7,0.8571428571428571,172
G_moving_60 months,26.985,21809.375,G,moving,60 months,8,0.875,173
G_other_36 months,29.345666666666666,11473.333333333334,G,other,36 months,30,0.7,174
G_other_60 months,27.279531249999998,20186.71875,G,other,60 months,64,0.546875,175
G_renewable_energy_60 months,25.8,19650.0,G,renewable_energy,60 months,1,1.0,176
G_small_business_36 months,29.53909090909091,20688.636363636364,G,small_business,36 months,11,0.8181818181818182,177
G_small_business_60 months,27.49,25092.647058823528,G,small_business,60 months,34,0.5882352941176471,178
G_vacation_60 months,25.845,15625.0,G,vacation,60 months,2,0.5,179
G_wedding_60 months,25.8,2500.0,G,wedding,60 months,1,1.0,180
